id,announceForRole,description,attachments,title,channels,comments,citizenReactions,authorityId,departmentId
cm73sfx8i0008u6coimn0m7fz,"[""COMMISSIONER"",""CITIZEN"",""ADMINISTRATOR"",""DEPARTMENT_HEAD""]","बजट 2025-26 में, सरकार ने मध्यम वर्ग के लिए आयकर दरों में कटौती की है और निजी निवेश को बढ़ावा देने के लिए उपाय किए हैं। हालांकि, आर्थिक वृद्धि की गति पिछले चार वर्षों में सबसे धीमी रहने की उम्मीद है।",[],Budget 2025-26 Highlights,[],"{""user1"": ""आयकर में कटौती से राहत मिलेगी।","{""likes"": 1400, ""shares"": 280, ""comments"": 240}",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfxa20009u6co070gfz45,"[""DEPARTMENT_OFFICER"",""DISTRICT_MAGISTRATE"",""NAGAR_SEVAK"",""COMMISSIONER"",""CITIZEN"",""DEPARTMENT_HEAD"",""FIELD_WORKER"",""ADMINISTRATOR"",""PANCHAYAT_OFFICER""]","राज्य सरकार ने किसानों के लिए नई ऋण माफी योजना की घोषणा की है, जिससे 10 लाख किसानों को लाभ होगा।",[],किसान ऋण माफी योजना,[],"[""यह एक स्वागत योग्य कदम है।""]","[""धन्यवाद सरकार!""]",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfxbi000au6cotp60422v,"[""NAGAR_SEVAK"",""DISTRICT_MAGISTRATE"",""BLOCK_OFFICER"",""DEPARTMENT_HEAD"",""ADMINISTRATOR"",""DEPARTMENT_OFFICER""]","महिलाओं की सुरक्षा के लिए विशेष अभियान शुरू किया गया है, जिसमें हेल्पलाइन नंबर और सुरक्षा ऐप की जानकारी दी जाएगी।",[],महिला सुरक्षा अभियान,[],"[""महिलाओं के लिए यह बहुत उपयोगी होगा।""]","[""सराहनीय पहल!""]",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfxd2000bu6cos9xmuj20,"[""FIELD_WORKER"",""PANCHAYAT_OFFICER""]","स्वच्छ भारत मिशन के तहत नए स्वच्छता अभियान की शुरुआत की गई है, जिसमें सभी नागरिकों की भागीदारी आवश्यक है।",[],स्वच्छता अभियान,[],"[""सभी को इसमें शामिल होना चाहिए।""]","[""हम तैयार हैं!""]",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfxel000cu6coklsjqf7g,"[""NAGAR_SEVAK"",""BLOCK_OFFICER""]","शिक्षकों के लिए नए प्रशिक्षण कार्यक्रम की घोषणा की गई है, जो अगले महीने से शुरू होगा।",[],शिक्षक प्रशिक्षण कार्यक्रम,[],"[""उत्कृष्ट पहल!""]","[""शिक्षकों के लिए यह बहुत लाभदायक होगा।""]",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfxg9000du6co08wnbf7x,"[""FIELD_WORKER"",""COMMISSIONER"",""NAGAR_SEVAK"",""BLOCK_OFFICER"",""PANCHAYAT_OFFICER"",""DEPARTMENT_HEAD""]",सरकार ने डिजिटल सेवाओं के उपयोग को बढ़ावा देने के लिए नई पहल की घोषणा की है।,[],डिजिटल इंडिया पहल,[],"[""यह नागरिकों के लिए बहुत उपयोगी होगा।""]","[""डिजिटल इंडिया की ओर एक और कदम।""]",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfxhr000eu6co2kmxm34z,"[""PANCHAYAT_OFFICER"",""CITIZEN"",""ADMINISTRATOR"",""DEPARTMENT_OFFICER"",""DISTRICT_MAGISTRATE"",""DEPARTMENT_HEAD"",""FIELD_WORKER""]",ग्रामीण क्षेत्रों में नि:शुल्क स्वास्थ्य शिविरों का आयोजन किया जाएगा।,[],स्वास्थ्य शिविर,[],"[""हम इसमें भाग लेंगे।""]","[""स्वास्थ्य के लिए अच्छा कदम।""]",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfxjb000fu6coczvc479j,"[""DEPARTMENT_OFFICER"",""DISTRICT_MAGISTRATE"",""NAGAR_SEVAK"",""ADMINISTRATOR"",""DEPARTMENT_HEAD"",""CITIZEN""]",जल संरक्षण के लिए विशेष अभियान शुरू किया गया है।,[],जल संरक्षण अभियान,[],"[""सभी को इसमें शामिल होना चाहिए।""]","[""जल ही जीवन है।""]",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfxkv000gu6covpdd6h5x,"[""CITIZEN"",""NAGAR_SEVAK"",""COMMISSIONER"",""DISTRICT_MAGISTRATE"",""DEPARTMENT_HEAD"",""DEPARTMENT_OFFICER"",""BLOCK_OFFICER"",""FIELD_WORKER"",""PANCHAYAT_OFFICER""]",सड़क सुरक्षा के प्रति जागरूकता बढ़ाने के लिए विशेष सप्ताह का आयोजन किया जाएगा।,[],सड़क सुरक्षा सप्ताह,[],"[""हम इसका समर्थन करते हैं।""]","[""सड़क सुरक्षा महत्वपूर्ण है।""]",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfxmg000hu6co4rioiwb2,"[""FIELD_WORKER"",""DISTRICT_MAGISTRATE"",""PANCHAYAT_OFFICER"",""DEPARTMENT_HEAD"",""COMMISSIONER"",""NAGAR_SEVAK""]",युवाओं के लिए नए कौशल विकास कार्यक्रम की घोषणा की गई है।,[],कौशल विकास कार्यक्रम,[],"[""हम इसमें भाग लेंगे।""]","[""युवाओं के लिए अच्छा अवसर।""]",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfxo8000iu6covvnirfhl,"[""DEPARTMENT_HEAD"",""ADMINISTRATOR"",""DEPARTMENT_OFFICER"",""DISTRICT_MAGISTRATE"",""FIELD_WORKER""]",पर्यावरण संरक्षण के लिए विशेष दिवस का आयोजन किया जाएगा।,[],पर्यावरण संरक्षण दिवस,[],"[""सभी को इसमें शामिल होना चाहिए।""]","[""पर्यावरण की रक्षा आवश्यक है।""]",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfxps000ju6co17qu3ife,"[""CITIZEN"",""DEPARTMENT_OFFICER"",""DISTRICT_MAGISTRATE"",""PANCHAYAT_OFFICER"",""COMMISSIONER"",""ADMINISTRATOR"",""DEPARTMENT_HEAD"",""NAGAR_SEVAK"",""FIELD_WORKER"",""BLOCK_OFFICER""]",बालिकाओं की शिक्षा को बढ़ावा देने के लिए नई योजना की घोषणा की गई है।,[],बालिका शिक्षा प्रोत्साहन,[],"[""हम इसका समर्थन करते हैं।""]","[""बालिकाओं के लिए अच्छा कदम।""]",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfxrf000ku6coawepa9ha,"[""COMMISSIONER"",""PANCHAYAT_OFFICER"",""FIELD_WORKER"",""BLOCK_OFFICER"",""DEPARTMENT_HEAD"",""NAGAR_SEVAK"",""ADMINISTRATOR"",""DISTRICT_MAGISTRATE"",""DEPARTMENT_OFFICER""]",वरिष्ठ नागरिकों के लिए विशेष सहायता कार्यक्रम की घोषणा की गई है।,[],वरिष्ठ नागरिक सहायता,[],"[""हम इसमें भाग लेंगे।""]","[""वरिष्ठ नागरिकों के लिए अच्छा कदम।""]",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfxt5000lu6co1ngy9xg1,"[""COMMISSIONER"",""PANCHAYAT_OFFICER"",""DISTRICT_MAGISTRATE"",""DEPARTMENT_OFFICER""]",स्वच्छ ऊर्जा के उपयोग को बढ़ावा देने के लिए नई योजना की घोषणा की गई है।,[],स्वच्छ ऊर्जा योजना,[],"[""यह पर्यावरण के लिए अच्छा है।""]","[""स्वच्छ ऊर्जा की ओर एक और कदम।""]",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfxux000mu6co3vzw55ax,"[""NAGAR_SEVAK"",""DEPARTMENT_OFFICER"",""BLOCK_OFFICER"",""DEPARTMENT_HEAD"",""FIELD_WORKER"",""COMMISSIONER""]",आपदा प्रबंधन के लिए विशेष प्रशिक्षण कार्यक्रम की घोषणा की गई है।,[],आपदा प्रबंधन प्रशिक्षण,[],"[""हम इसमें भाग लेंगे।""]","[""आपदा प्रबंधन महत्वपूर्ण है।""]",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfxwo000nu6coplfelzb3,"[""NAGAR_SEVAK"",""DEPARTMENT_HEAD"",""FIELD_WORKER"",""COMMISSIONER"",""ADMINISTRATOR"",""DEPARTMENT_OFFICER"",""BLOCK_OFFICER"",""CITIZEN"",""PANCHAYAT_OFFICER""]",महिलाओं के सशक्तिकरण के लिए नई योजना की घोषणा की गई है।,[],नारी सशक्तिकरण योजना,[],"[""हम इसका समर्थन करते हैं।""]","[""महिलाओं के लिए अच्छा कदम।""]",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfxya000ou6coy6vqpyoj,"[""DEPARTMENT_HEAD"",""CITIZEN"",""NAGAR_SEVAK"",""PANCHAYAT_OFFICER"",""COMMISSIONER"",""ADMINISTRATOR"",""FIELD_WORKER"",""BLOCK_OFFICER""]",नागरिकों के लिए नई स्वास्थ्य बीमा योजना की घोषणा की गई है।,[],स्वास्थ्य बीमा योजना,[],"[""हम इसमें भाग लेंगे।""]","[""स्वास्थ्य के लिए अच्छा कदम।""]",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfxzv000pu6coz4ltq3fl,"[""PANCHAYAT_OFFICER"",""BLOCK_OFFICER"",""DEPARTMENT_OFFICER"",""DEPARTMENT_HEAD"",""COMMISSIONER"",""CITIZEN"",""FIELD_WORKER"",""ADMINISTRATOR"",""NAGAR_SEVAK"",""DISTRICT_MAGISTRATE""]",किसानों के लिए नई कृषि तकनीक प्रशिक्षण कार्यक्रम की घोषणा की गई है।,[],कृषि तकनीक प्रशिक्षण,[],"[""हम इसमें भाग लेंगे।""]","[""किसानों के लिए अच्छा अवसर।""]",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfy1b000qu6co3cth69ml,"[""PANCHAYAT_OFFICER"",""ADMINISTRATOR"",""DISTRICT_MAGISTRATE"",""BLOCK_OFFICER"",""NAGAR_SEVAK"",""CITIZEN"",""DEPARTMENT_OFFICER"",""DEPARTMENT_HEAD"",""FIELD_WORKER"",""COMMISSIONER""]",शहरी क्षेत्रों के विकास के लिए नई योजना की घोषणा की गई है।,[],शहरी विकास योजना,[],"[""हम इसका समर्थन करते हैं।""]","[""शहरों के लिए अच्छा कदम।""]",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfy3a000ru6coqzkwozdl,"[""ADMINISTRATOR"",""PANCHAYAT_OFFICER"",""DEPARTMENT_HEAD"",""COMMISSIONER"",""FIELD_WORKER"",""CITIZEN"",""DEPARTMENT_OFFICER""]",ग्रामीण क्षेत्रों में नई सड़कों के निर्माण की घोषणा की गई है।,[],ग्रामीण सड़क निर्माण,[],"[""हम इसका समर्थन करते हैं।""]","[""ग्रामीण क्षेत्रों के लिए अच्छा कदम।""]",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfy4y000su6colfgl2ocy,"[""FIELD_WORKER"",""BLOCK_OFFICER"",""ADMINISTRATOR"",""COMMISSIONER"",""DISTRICT_MAGISTRATE""]",उत्तर प्रदेश सरकार ने शिक्षित बेरोजगार युवाओं के लिए मुख्यमंत्री युवा स्वरोजगार योजना की शुरुआत की है।,[],मुख्यमंत्री युवा स्वरोजगार योजना का शुभारंभ,[],'बहुत अच्छी पहल!' - अमित कुमार,"{'likes': 1500, 'shares': 300}",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfy6l000tu6coa76mayo3,"[""FIELD_WORKER"",""BLOCK_OFFICER"",""ADMINISTRATOR"",""CITIZEN"",""NAGAR_SEVAK"",""COMMISSIONER"",""DEPARTMENT_OFFICER"",""DISTRICT_MAGISTRATE""]",कस्तूरबा गांधी बालिका विद्यालयों में रिक्त पदों के लिए आवेदन आमंत्रित किए जाते हैं।,[],कस्तूरबा गांधी बालिका विद्यालय में रिक्त पदों की सूचना,[],'महिलाओं के लिए अच्छा अवसर।' - स्नेहा वर्मा,"{'likes': 800, 'shares': 150}",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfy8e000uu6coha6gj229,"[""CITIZEN"",""NAGAR_SEVAK"",""FIELD_WORKER"",""PANCHAYAT_OFFICER"",""BLOCK_OFFICER"",""DEPARTMENT_OFFICER"",""ADMINISTRATOR"",""DISTRICT_MAGISTRATE""]",बुंदेलखंड एक्सप्रेसवे परियोजना के लिए भूमि अधिग्रहण की अधिसूचना जारी की गई है।,[],बुंदेलखंड एक्सप्रेसवे परियोजना भूमि अधिग्रहण अधिसूचना,[],'विकास के लिए महत्वपूर्ण कदम।' - राजेश सिंह,"{'likes': 1200, 'shares': 250}",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfyah000vu6coah0g8drj,"[""PANCHAYAT_OFFICER"",""CITIZEN"",""NAGAR_SEVAK"",""DISTRICT_MAGISTRATE"",""FIELD_WORKER"",""BLOCK_OFFICER"",""ADMINISTRATOR"",""COMMISSIONER""]",शहरी क्षेत्रों में आशा कार्यकर्ताओं के चयन के लिए आवेदन आमंत्रित किए जाते हैं।,[],शहरी आशा चयन हेतु विज्ञापन,[],'स्वास्थ्य सेवाओं में सुधार के लिए आवश्यक।' - कविता मिश्रा,"{'likes': 900, 'shares': 200}",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfyc2000wu6cod01jgszz,"[""DEPARTMENT_OFFICER"",""DEPARTMENT_HEAD"",""COMMISSIONER"",""ADMINISTRATOR"",""BLOCK_OFFICER"",""FIELD_WORKER"",""DISTRICT_MAGISTRATE""]",संविदा दंत चिकित्सकों के साक्षात्कार की तिथि की घोषणा की गई है।,[],मुख्य चिकित्सा अधिकारी द्वारा संविदा दंत चिकित्सकों के साक्षात्कार की सूचना,[],'उम्मीदवारों के लिए महत्वपूर्ण सूचना।' - विकास यादव,"{'likes': 600, 'shares': 100}",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfydo000xu6co8f0zshiq,"[""PANCHAYAT_OFFICER"",""DEPARTMENT_OFFICER"",""DEPARTMENT_HEAD"",""FIELD_WORKER"",""ADMINISTRATOR"",""DISTRICT_MAGISTRATE"",""COMMISSIONER"",""NAGAR_SEVAK"",""CITIZEN"",""BLOCK_OFFICER""]",अटल आवासीय विद्यालय में कंप्यूटर शिक्षक गेस्ट फैकल्टी के लिए साक्षात्कार की तिथि घोषित की गई है।,[],अटल आवासीय विद्यालय में कंप्यूटर शिक्षक गेस्ट फैकल्टी के लिए साक्षात्कार,[],'शिक्षकों के लिए अच्छा अवसर।' - प्रिया शर्मा,"{'likes': 700, 'shares': 120}",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfyf9000yu6copwgo23ff,"[""DISTRICT_MAGISTRATE"",""ADMINISTRATOR"",""NAGAR_SEVAK"",""CITIZEN"",""FIELD_WORKER"",""DEPARTMENT_HEAD""]",जनपद बस्ती में उपखनिज निस्तारण के लिए ई-निविदा आमंत्रित की जाती हैं।,[],उपखनिज निस्तारण के लिए ई-निविदा आमंत्रण,[],'उद्योगपतियों के लिए महत्वपूर्ण सूचना।' - अनिल अग्रवाल,"{'likes': 500, 'shares': 80}",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfyh2000zu6com5cxra5p,"[""DEPARTMENT_OFFICER"",""BLOCK_OFFICER"",""COMMISSIONER"",""DEPARTMENT_HEAD"",""FIELD_WORKER"",""PANCHAYAT_OFFICER"",""CITIZEN"",""NAGAR_SEVAK"",""ADMINISTRATOR""]",लोकसभा सामान्य निर्वाचन 2024 के लिए दर सूची जारी की गई है।,[],लोकसभा सामान्य निर्वाचन 2024 की दर सूची,[],'चुनाव प्रक्रिया के लिए आवश्यक जानकारी।' - सुरेश चौधरी,"{'likes': 1100, 'shares': 210}",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfyir0010u6co8hrm1a9x,"[""DEPARTMENT_OFFICER"",""PANCHAYAT_OFFICER""]",जिला सर्वेक्षण रिपोर्ट का ड्राफ्ट जारी किया गया है।,[],जिला सर्वेक्षण रिपोर्ट ड्राफ्ट जारी,[],'विकास योजनाओं के लिए उपयोगी।' - नीतू सिंह,"{'likes': 650, 'shares': 130}",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfykd0011u6cowi2k190s,"[""COMMISSIONER"",""CITIZEN"",""PANCHAYAT_OFFICER"",""ADMINISTRATOR"",""BLOCK_OFFICER"",""FIELD_WORKER"",""DEPARTMENT_OFFICER"",""NAGAR_SEVAK"",""DEPARTMENT_HEAD""]",आबकारी विभाग की ई-लॉटरी के परिणाम घोषित किए गए हैं।,[],आबकारी विभाग ई-लॉटरी परिणाम 2023-24,[],'उम्मीदवारों के लिए महत्वपूर्ण सूचना।' - दीपक गुप्ता,"{'likes': 950, 'shares': 180}",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfylz0012u6corzj220kh,"[""DEPARTMENT_OFFICER"",""DISTRICT_MAGISTRATE"",""FIELD_WORKER"",""BLOCK_OFFICER"",""ADMINISTRATOR""]",अटल आवासीय विद्यालय की प्रवेश परीक्षा के परिणाम घोषित किए गए हैं।,[],अटल आवासीय विद्यालय प्रवेश परीक्षा परिणाम,[],'छात्रों के लिए खुशी की खबर।' - राधा पांडे,"{'likes': 1000, 'shares': 190}",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfynt0013u6covie1wvbr,"[""DEPARTMENT_OFFICER"",""DISTRICT_MAGISTRATE"",""ADMINISTRATOR"",""DEPARTMENT_HEAD"",""FIELD_WORKER"",""COMMISSIONER"",""PANCHAYAT_OFFICER"",""CITIZEN"",""BLOCK_OFFICER"",""NAGAR_SEVAK""]",कस्तूरबा गांधी आवासीय बालिका विद्यालय में संविदा आधार पर रिक्त पदों के लिए आवेदन आमंत्रित किए जाते हैं।,[],कस्तूरबा गांधी आवासीय बालिका विद्यालय में रिक्त पदों की सूचना,[],'महिला सशक्तिकरण की दिशा में कदम।' - पूजा सिंह,"{'likes': 850, 'shares': 160}",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfypf0014u6coyoy1ebr2,"[""ADMINISTRATOR"",""FIELD_WORKER"",""DISTRICT_MAGISTRATE"",""DEPARTMENT_HEAD"",""BLOCK_OFFICER"",""PANCHAYAT_OFFICER"",""DEPARTMENT_OFFICER""]",जिला सर्वेक्षण रिपोर्ट का ड्राफ्ट जारी किया गया है।,[],जिला सर्वेक्षण रिपोर्ट ड्राफ्ट जारी,[],'विकास योजनाओं के लिए उपयोगी।' - नीतू सिंह,"{'likes': 700, 'shares': 140}",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfyr00015u6codo55y19j,"[""ADMINISTRATOR"",""COMMISSIONER"",""BLOCK_OFFICER"",""PANCHAYAT_OFFICER"",""DEPARTMENT_HEAD"",""NAGAR_SEVAK"",""DISTRICT_MAGISTRATE""]",आबकारी विभाग की ई-लॉटरी के परिणाम घोषित किए गए हैं।,[],आबकारी विभाग ई-लॉटरी परिणाम 2023-24,[],'उम्मीदवारों के लिए महत्वपूर्ण सूचना।' - दीपक गुप्ता,"{'likes': 950, 'shares': 180}",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfysn0016u6co54vonxox,"[""ADMINISTRATOR"",""COMMISSIONER"",""BLOCK_OFFICER"",""PANCHAYAT_OFFICER""]",अटल आवासीय विद्यालय की प्रवेश परीक्षा के परिणाम घोषित किए गए हैं।,[],अटल आवासीय विद्यालय प्रवेश परीक्षा परिणाम,[],'छात्रों के लिए खुशी की खबर।' - राधा पांडे,"{'likes': 1000, 'shares': 190}",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
