id,title,complaint,complaintType,category,subcategory,estimatedResolutionTime,status,urgencyLevel,priorityLevel,isAnonymous,economicImpact,socialImpact,emotion,estimated,ResolutionTime,relatedPolicies,timestamp,lastUpdatedDate,submissionDate,currentLevel,escalationHistory,assignedAuthorities,resolutionPath,environmentalImpact,userId,departmentId,locationId
cm725fqll00k8u6o4ztsjkf9q,Allahabad - Allahabad mein health services,"Allahabad mein health services kaafi poor hain, hospitals mein facilities kaafi kam hain!",,,,18,Open,Low,MEDIUM,false,,,Worried,,,,2025-02-12 16:52:31.21,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,,cm725fqki00k6u6o41a266rdr,cm725fl4x00hcu6o4h39z4fls,cm725fqla00k7u6o4tgpl58kw
cm725fqqz00kau6o4iqwutokt,Bareilly - Bareilly mein roads ki,"Bareilly mein roads ki condition itni bekar ho gayi hai, khadde bharne ka koi solution nahi hai!",,,,20,In Progress,Low,MEDIUM,false,,,Frustrated,,,,2025-02-12 16:52:31.403,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,,cm725fjxu00gqu6o4b6c9bmui,cm725fl4x00hcu6o4h39z4fls,cm725fqq900k9u6o4xt90hh4n
cm725fqwv00kdu6o4gsm3u7ir,Meerut - Meerut mein har jagah,"Meerut mein har jagah loudspeakers ki awaaz sunayi deti hai, yeh noise pollution kaafi badh gaya hai!",,,,19,Open,Low,MEDIUM,false,,,Annoyed,,,,2025-02-12 16:52:31.615,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,,cm725fqvn00kbu6o45v3v6bfa,cm725fl4x00hcu6o4h39z4fls,cm725fqwd00kcu6o4brz98s6o
cm725fr3000kgu6o4hdk0h032,Kanpur - Kanpur mein kachra sab,"Kanpur mein kachra sab jagah phela hua hai, garbage collection ka proper system nahi hai!",,,,13,In Progress,Low,MEDIUM,false,,,Disgusted,,,,2025-02-12 16:52:31.836,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,,cm725fr0t00keu6o4kfeibzmz,cm725fl4x00hcu6o4h39z4fls,cm725fr2700kfu6o4ku2x0u30
cm725fr7p00kiu6o4j1zl4w7o,Agra - Agra mein power supply,"Agra mein power supply kaafi inconsistent hai, garmi ke time mein bilkul problem ho rahi hai!",,,,22,Closed,Low,MEDIUM,false,,,Frustrated,,,,2025-02-12 16:52:32.005,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,,cm725f46g008su6o4uwrwobrs,cm725fl4x00hcu6o4h39z4fls,cm725fr7b00khu6o4bm6uh0ga
cm725frax00kku6o42v30ldww,Lucknow - Lucknow mein raat ko,"Lucknow mein raat ko sadak pe nikalna dangerous ho gaya hai, security kaafi weak ho gayi hai!",,,,8,Open,Low,MEDIUM,false,,,Fearful,,,,2025-02-12 16:52:32.121,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,,cm725evpg002qu6o4hc2jgjoi,cm725fl4x00hcu6o4h39z4fls,cm725fraj00kju6o4hwd42441
cm725frey00kmu6o4a9uoaamg,Mathura - Mathura mein health services,"Mathura mein health services ki condition kaafi poor ho gayi hai, treatment ke liye proper staff nahi milta!",,,,23,Closed,Low,MEDIUM,false,,,Worried,,,,2025-02-12 16:52:32.266,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,,cm725f76900aku6o4l8t44bnc,cm725fl4x00hcu6o4h39z4fls,cm725fren00klu6o4mz5p3mis
cm725frjc00kpu6o4ussphyc2,Varanasi - Varnasi mein garbage collection,"Varnasi mein garbage collection ka system bilkul khatam ho gaya hai, har jagah kachra phela hai!",,,,7,Closed,Low,MEDIUM,false,,,Disgusted,,,,2025-02-12 16:52:32.424,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,,cm725frh500knu6o4j5l1dn1b,cm725fl4x00hcu6o4h39z4fls,cm725fri800kou6o4xgclkp5g
cm725frnm00ksu6o4aezwkyg3,Noida - Noida mein traffic ki,"Noida mein traffic ki wajah se kaafi samay waste hota hai, kuch solution nahi mil raha!",,,,1,Closed,Low,MEDIUM,false,,,Irritated,,,,2025-02-12 16:52:32.579,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,,cm725frmr00kqu6o4sicqsn7s,cm725fl4x00hcu6o4h39z4fls,cm725frnb00kru6o45v4f396u
cm725fruq00kvu6o4l9il4j2n,Bareilly - Bareilly mein public toilets,"Bareilly mein public toilets bilkul gande ho gaye hain, koi safai ka system nahi hai!",,,,25,Open,Low,MEDIUM,false,,,Disgusted,,,,2025-02-12 16:52:32.834,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,,cm725frsk00ktu6o4q3xexc8c,cm725fl4x00hcu6o4h39z4fls,cm725frt600kuu6o4r5m4zcz0
cm725fryx00kxu6o4lv6fdv8i,Electricity Issue in Ghaziabad,"गर्मी के मौसम में बिजली की कटौती बढ़ गई है। दिनभर बिजली चली जाती है, जिससे काम करना मुश्किल हो जाता है।",Electricity,Utilities,Power Distribution,27,Open,High,MEDIUM,false,Increased electricity costs,Disruption of daily activities,Exhaustion,,,UP Electricity Act 2017,2025-02-12 16:52:32.986,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Increased generator usage causing pollution,cm725fiur00g6u6o4z0g4ml7s,cm725dgc70009u6h4pqcjyeb5,cm725frym00kwu6o4hy19qgnx
cm725fs4k00l0u6o4hwp3o179,Garbage Issue in Meerut,कूड़े का ढेर सड़कों पर पड़ा रहता है। सफाई कर्मचारी कभी भी समय पर नहीं आते हैं।,Garbage,Sanitation,Garbage Collection,10,Open,High,MEDIUM,false,Increased healthcare costs,Health hazards and unhygienic conditions,Disgust,,,UP Sanitation Act 2018,2025-02-12 16:52:33.189,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Pollution and pest infestation,cm725fs2e00kyu6o4p7bhhndn,cm725dgdh000au6h4fagm9twc,cm725fs3s00kzu6o4drqlvi4b
cm725fs8m00l2u6o44ve1xa8u,Roads Issue in Noida,सड़कों में गड्ढे और टूट-फूट बहुत बढ़ गई है। इससे दुर्घटनाओं का खतरा बढ़ गया है।,Roads,Infrastructure,Road Maintenance,25,In Progress,High,MEDIUM,false,Vehicle repair costs,Increased accidents and injuries,Irritation,,,UP Road Maintenance Act 2017,2025-02-12 16:52:33.334,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Air pollution due to traffic congestion,cm725ezao005ru6o4uc41b0o6,cm725dg3k0003u6h4e8f3kb9h,cm725fs7c00l1u6o4xok75ah3
cm725fsc900l4u6o4b0o4xvo7,Public Transport Issue in Mathura,"बसें बहुत कम आती हैं, और उन पर भारी भीड़ होती है। यात्रा करना बहुत मुश्किल हो गया है।",Public Transport,Transportation,Bus Services,28,In Progress,Medium,MEDIUM,false,Loss of productivity,Inconvenience for daily commuters,Annoyance,,,UP Public Transport Act 2018,2025-02-12 16:52:33.465,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Increased pollution due to private vehicle usage,cm725eynd005gu6o4resh0jrb,cm725dggi000cu6h4gbmwutvf,cm725fsbw00l3u6o48ta07fir
cm725fsg700l6u6o4grtgxu5k,Health Services Issue in Aligarh,सरकारी अस्पतालों में इलाज की सुविधाएं बिल्कुल भी ठीक नहीं हैं। मरीजों को बिना इलाज के ही वापस भेज दिया जाता है।,Health Services,Healthcare,Public Health,23,In Progress,High,MEDIUM,false,Increased medical expenses,Poor health outcomes,Frustration,,,UP Health Services Act 2015,2025-02-12 16:52:33.607,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,None,cm725f0co0066u6o4d979697v,cm725dg6o0005u6h4jkjbkawz,cm725fsf400l5u6o4chd7kdpy
cm725fsl400l8u6o427hkjkat,Police & Law Issue in Muzaffarnagar,पुलिस कार्यवाही में बहुत ही सुस्ती दिखाती है। अपराधियों के खिलाफ कोई कड़ी कार्रवाई नहीं होती।,Police & Law,Law Enforcement,Crime Control,1,Closed,High,MEDIUM,false,Loss of business due to crime,Increased fear and insecurity among residents,Anger,,,UP Police Act 2018,2025-02-12 16:52:33.785,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,None,cm725evst002tu6o4nf43xk4o,cm725dg830006u6h44jyrjmcn,cm725fskr00l7u6o4c93g1s8t
cm725fspg00lbu6o4ddqzu81j,Education Issue in Jhansi,स्कूलों में पढ़ाई का स्तर बहुत ही कम है। शिक्षक भी अपनी जिम्मेदारी से बचते हैं।,Education,Education,School Curriculum,28,Open,High,MEDIUM,false,Increased private tuition costs,Poor educational outcomes,Concern,,,UP Education Act 2014,2025-02-12 16:52:33.94,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,None,cm725fsng00l9u6o47n2xgem9,cm725dg9j0007u6h4tzh2udh2,cm725fso500lau6o4ws2aktqa
cm725fssj00ldu6o4e4pzcja9,Water Supply Issue in Mathura,पानी की सप्लाई में गंदगी आती है। हम पानी पीने से पहले उसे छानने को मजबूर हैं।,Water Supply,Utilities,Water Distribution,27,Closed,High,MEDIUM,false,Additional water procurement costs,Disruption of daily life and hygiene,Frustration,,,UP Water Supply Act 2019,2025-02-12 16:52:34.051,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Water wastage and contamination,cm725f76900aku6o4l8t44bnc,cm725dgaz0008u6h4o1r9mtq7,cm725fss800lcu6o4qntnp7zc
cm725fsw100lfu6o45hyw2unl,Electricity Issue in Lucknow,"लगातार बिजली की कटौती हो रही है, खासकर गर्मियों में। इससे घर में बहुत परेशानी होती है।",Electricity,Utilities,Power Distribution,23,In Progress,High,MEDIUM,false,Increased electricity costs,Disruption of daily activities,Exhaustion,,,UP Electricity Act 2017,2025-02-12 16:52:34.177,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Increased generator usage causing pollution,cm725fs2e00kyu6o4p7bhhndn,cm725dgc70009u6h4pqcjyeb5,cm725fsvo00leu6o41ree9uj0
cm725ft0c00lhu6o4uofwnhiy,Garbage Issue in Varanasi,कूड़ा सड़क पर पड़ा रहता है और सफाई कर्मचारी उसे उठाने के लिए कोई प्रयास नहीं करते।,Garbage,Sanitation,Garbage Collection,15,In Progress,High,MEDIUM,false,Increased healthcare costs,Health hazards and unhygienic conditions,Disgust,,,UP Sanitation Act 2018,2025-02-12 16:52:34.332,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Pollution and pest infestation,cm725et130009u6o45e2rnkk7,cm725dgdh000au6h4fagm9twc,cm725ft0100lgu6o4hl9txgnb
cm725ft5700lju6o4wlt9a7km,Roads Issue in Meerut,"सड़कों पर गड्ढे हो गए हैं, जिससे यातायात बहुत प्रभावित हो रहा है। अधिकारियों को इस पर ध्यान देना चाहिए।",Roads,Infrastructure,Road Maintenance,23,Closed,High,MEDIUM,false,Vehicle repair costs,Increased accidents and injuries,Anger,,,UP Road Maintenance Act 2017,2025-02-12 16:52:34.507,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Air pollution due to traffic congestion,cm725etmm000uu6o4ozfcze5n,cm725dg3k0003u6h4e8f3kb9h,cm725ft4w00liu6o4epawh16i
cm725ft9u00llu6o4hw9n02np,Public Transport Issue in Kanpur,"सार्वजनिक परिवहन की सेवाएं बहुत ही कम हैं, और जो बसें चलती हैं, उनका समय पर आना असंभव हो जाता है।",Public Transport,Transportation,Bus Services,25,Closed,Medium,MEDIUM,false,Loss of productivity,Inconvenience for daily commuters,Frustration,,,UP Public Transport Act 2018,2025-02-12 16:52:34.674,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Increased pollution due to private vehicle usage,cm725et4a000cu6o41zd7iqyb,cm725dggi000cu6h4gbmwutvf,cm725ft8n00lku6o4cpicw2xa
cm725fte300lnu6o4ysbyktc7,Health Services Issue in Agra,अस्पतालों में बहुत भीड़ रहती है। इलाज में समय लगता है और डॉक्टर भी जल्दी से नहीं आते।,Health Services,Healthcare,Public Health,4,Open,High,MEDIUM,false,Increased medical expenses,Poor health outcomes,Helplessness,,,UP Health Services Act 2015,2025-02-12 16:52:34.827,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,None,cm725evj6002lu6o49iwg8kf9,cm725dg6o0005u6h4jkjbkawz,cm725ftcr00lmu6o4eyywfg65
cm725ftjj00lqu6o4v3yi25vc,Police & Law Issue in Bareilly,पुलिस शिकायतों को गंभीरता से नहीं लेती। कई बार तो शिकायत दर्ज कराने के बाद भी कोई कार्रवाई नहीं होती।,Police & Law,Law Enforcement,Crime Control,16,In Progress,High,MEDIUM,false,Loss of business due to crime,Increased fear and insecurity among residents,Frustration,,,UP Police Act 2018,2025-02-12 16:52:35.023,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,None,cm725ftho00lou6o4hkyc19kc,cm725dg830006u6h44jyrjmcn,cm725ftia00lpu6o44z5pohgr
cm725ftnu00lsu6o4wpporu77,Education Issue in Saharanpur,स्कूलों में बच्चों को बुनियादी शिक्षा भी नहीं दी जा रही है। शिक्षक की कमी भी है।,Education,Education,School Curriculum,6,In Progress,High,MEDIUM,false,Increased private tuition costs,Poor educational outcomes,Concern,,,UP Education Act 2014,2025-02-12 16:52:35.178,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,None,cm725f67200a2u6o4k78buxu5,cm725dg9j0007u6h4tzh2udh2,cm725ftnj00lru6o4d9unkipu
cm725ftsm00luu6o4snu69hq6,Water Supply Issue in Bijnor,पानी की सप्लाई घंटों तक नहीं आती है। फिर पानी में गंदगी भी मिल जाती है।,Water Supply,Utilities,Water Distribution,6,In Progress,High,MEDIUM,false,Additional water procurement costs,Disruption of daily life and hygiene,Disappointment,,,UP Water Supply Act 2019,2025-02-12 16:52:35.35,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Water wastage and contamination,cm725f38o0082u6o47edcxgkg,cm725dgaz0008u6h4o1r9mtq7,cm725ftro00ltu6o4fu8dd69p
cm725ftwp00lwu6o4wpssdwjw,Electricity Issue in Jhansi,बिजली की सप्लाई बहुत खराब है। घर में इलेक्ट्रॉनिक उपकरण भी बिना बिजली के काम नहीं कर पाते।,Electricity,Utilities,Power Distribution,17,Closed,High,MEDIUM,false,Increased electricity costs,Disruption of daily activities,Exhaustion,,,UP Electricity Act 2017,2025-02-12 16:52:35.496,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Increased generator usage causing pollution,cm725fiur00g6u6o4z0g4ml7s,cm725dgc70009u6h4pqcjyeb5,cm725ftwb00lvu6o4evt4332n
cm725fu1z00lzu6o4lfhyqxeb,Garbage Issue in Kanpur,कूड़ा हमेशा सड़कों पर पड़ा रहता है। सफाई कर्मचारियों को इस पर तुरंत ध्यान देना चाहिए।,Garbage,Sanitation,Garbage Collection,30,In Progress,High,MEDIUM,false,Increased healthcare costs,Health hazards and unhygienic conditions,Disgust,,,UP Sanitation Act 2018,2025-02-12 16:52:35.688,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Pollution and pest infestation,cm725ftz300lxu6o45fq5jq6s,cm725dgdh000au6h4fagm9twc,cm725fu1p00lyu6o4f3bakqw2
cm725fu7u00m1u6o437yuycpc,Roads Issue in Agra,सड़कों की स्थिति बहुत खराब हो गई है। गड्ढे भरने का काम कभी नहीं होता है।,Roads,Infrastructure,Road Maintenance,30,Closed,High,MEDIUM,false,Vehicle repair costs,Increased accidents and injuries,Irritation,,,UP Road Maintenance Act 2017,2025-02-12 16:52:35.899,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Air pollution due to traffic congestion,cm725f4wr009au6o4wv71g3sj,cm725dg3k0003u6h4e8f3kb9h,cm725fu7h00m0u6o40zozvwyg
cm725fubn00m3u6o40i0lhh5i,Public Transport Issue in Faizabad,बसों का आना-जाना बहुत ही अस्थिर है। कई बार घंटों इंतजार करने के बाद भी बसें नहीं आती।,Public Transport,Transportation,Bus Services,8,Open,Medium,MEDIUM,false,Loss of productivity,Inconvenience for daily commuters,Annoyance,,,UP Public Transport Act 2018,2025-02-12 16:52:36.035,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Increased pollution due to private vehicle usage,cm725f0co0066u6o4d979697v,cm725dggi000cu6h4gbmwutvf,cm725fubb00m2u6o4eo57gyil
cm725fufh00m5u6o42197mb5i,Health Services Issue in Muzaffarnagar,सरकारी अस्पतालों में डॉक्टरों की कमी और खराब सुविधाएं हैं। इलाज में बहुत देरी होती है।,Health Services,Healthcare,Public Health,15,Closed,High,MEDIUM,false,Increased medical expenses,Poor health outcomes,Helplessness,,,UP Health Services Act 2015,2025-02-12 16:52:36.173,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,None,cm725evst002tu6o4nf43xk4o,cm725dg6o0005u6h4jkjbkawz,cm725fuec00m4u6o46u4i5r0b
cm725fule00m8u6o4nkebl6nn,Police & Law Issue in Moradabad,पुलिस के पास कोई भी समस्या हल करने का समय नहीं है। अपराध बढ़ रहे हैं और पुलिस की कोई कार्यवाही नहीं हो रही।,Police & Law,Law Enforcement,Crime Control,23,In Progress,High,MEDIUM,false,Loss of business due to crime,Increased fear and insecurity among residents,Anger,,,UP Police Act 2018,2025-02-12 16:52:36.386,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,None,cm725fuj900m6u6o4t05efsvu,cm725dg830006u6h44jyrjmcn,cm725ful300m7u6o4cya8dkv4
cm725fuo600mau6o4c9cwaj07,Education Issue in Noida,"स्कूलों में शिक्षक की कमी है और जो शिक्षक हैं, उनका ध्यान बच्चों की पढ़ाई पर नहीं होता।",Education,Education,School Curriculum,10,In Progress,High,MEDIUM,false,Increased private tuition costs,Poor educational outcomes,Concern,,,UP Education Act 2014,2025-02-12 16:52:36.486,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,None,cm725f76900aku6o4l8t44bnc,cm725dg9j0007u6h4tzh2udh2,cm725funu00m9u6o4hl290waq
cm725fusm00mcu6o4l3vp0dos,Water Supply Issue in Aligarh,पानी की सप्लाई कभी समय पर नहीं आती। बार-बार टैंकर भेजने के बाद भी स्थिति में कोई सुधार नहीं हुआ।,Water Supply,Utilities,Water Distribution,9,Closed,High,MEDIUM,false,Additional water procurement costs,Disruption of daily life and hygiene,Frustration,,,UP Water Supply Act 2019,2025-02-12 16:52:36.646,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Water wastage and contamination,cm725et130009u6o45e2rnkk7,cm725dgaz0008u6h4o1r9mtq7,cm725fur000mbu6o426enif04
cm725fux600meu6o4xunytjtp,Electricity Issue in Faizabad,बिजली की समस्या अब तक हल नहीं हो पाई है। दिन में कई बार बिजली चली जाती है और फिर घंटों तक नहीं आती।,Electricity,Utilities,Power Distribution,19,In Progress,High,MEDIUM,false,Increased electricity costs,Disruption of daily activities,Exhaustion,,,UP Electricity Act 2017,2025-02-12 16:52:36.81,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Increased generator usage causing pollution,cm725fs2e00kyu6o4p7bhhndn,cm725dgc70009u6h4pqcjyeb5,cm725fuvt00mdu6o4ouis15e5
cm725fv2m00mgu6o4v8qgsq2o,Garbage Issue in Moradabad,कूड़े के ढेर सड़कों पर पड़े रहते हैं। सफाई व्यवस्था को बेहतर करने की आवश्यकता है।,Garbage,Sanitation,Garbage Collection,18,Open,High,MEDIUM,false,Increased healthcare costs,Health hazards and unhygienic conditions,Disgust,,,UP Sanitation Act 2018,2025-02-12 16:52:37.006,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Pollution and pest infestation,cm725eynd005gu6o4resh0jrb,cm725dgdh000au6h4fagm9twc,cm725fv1100mfu6o41icpl2dl
cm725fv6m00miu6o4jzrig0hw,Roads Issue in Lucknow,"सड़कों पर गड्ढे भरे नहीं जाते। बारिश के बाद तो यह और बढ़ जाते हैं, जिससे वाहन चालक परेशान हो जाते हैं।",Roads,Infrastructure,Road Maintenance,3,Closed,High,MEDIUM,false,Vehicle repair costs,Increased accidents and injuries,Irritation,,,UP Road Maintenance Act 2017,2025-02-12 16:52:37.15,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Air pollution due to traffic congestion,cm725fiur00g6u6o4z0g4ml7s,cm725dg3k0003u6h4e8f3kb9h,cm725fv6c00mhu6o4yzgwbn9x
cm725fvah00mku6o4nfakiqpe,Public Transport Issue in Bareilly,बसें हमेशा देर से आती हैं और बहुत भीड़ रहती है। यात्री असहज महसूस करते हैं।,Public Transport,Transportation,Bus Services,9,In Progress,Medium,MEDIUM,false,Loss of productivity,Inconvenience for daily commuters,Annoyance,,,UP Public Transport Act 2018,2025-02-12 16:52:37.29,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Increased pollution due to private vehicle usage,cm725et4a000cu6o41zd7iqyb,cm725dggi000cu6h4gbmwutvf,cm725fva700mju6o4dwtjjjfs
cm725fvg100mmu6o4g9cp2mvu,Health Services Issue in Jhansi,सरकारी अस्पतालों में दवाइयों की कमी और डॉक्टरों की अनुपस्थिति से मरीजों को कड़ी परेशानी होती है।,Health Services,Healthcare,Public Health,14,In Progress,High,MEDIUM,false,Increased medical expenses,Poor health outcomes,Helplessness,,,UP Health Services Act 2015,2025-02-12 16:52:37.489,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,None,cm725euhj001lu6o47cg3cj43,cm725dg6o0005u6h4jkjbkawz,cm725fveb00mlu6o496aimxmd
cm725fvjn00mou6o4ptn1exka,Police & Law Issue in Ghaziabad,पुलिस कभी भी सही समय पर कार्यवाही नहीं करती। अपराधियों के खिलाफ कोई सख्त कदम नहीं उठाए जाते।,Police & Law,Law Enforcement,Crime Control,23,In Progress,High,MEDIUM,false,Loss of business due to crime,Increased fear and insecurity among residents,Anger,,,UP Police Act 2018,2025-02-12 16:52:37.62,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,None,cm725evst002tu6o4nf43xk4o,cm725dg830006u6h44jyrjmcn,cm725fvjc00mnu6o4mdxozl1g
cm725fvo800mqu6o42sksho3j,Education Issue in Agra,स्कूलों में बच्चों के लिए किसी भी प्रकार के अतिरिक्त पाठ्यक्रम की कोई व्यवस्था नहीं है।,Education,Education,School Curriculum,14,In Progress,High,MEDIUM,false,Increased private tuition costs,Poor educational outcomes,Concern,,,UP Education Act 2014,2025-02-12 16:52:37.785,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,None,cm725fsng00l9u6o47n2xgem9,cm725dg9j0007u6h4tzh2udh2,cm725fvn900mpu6o4sjacd97p
cm725fvs100msu6o4olfhf0uz,Water Supply Issue in Gorakhpur,पानी की सप्लाई में बहुत ही गंदगी आती है। कभी कभी तो पूरी कॉलोनी को पानी नहीं मिलता।,Water Supply,Utilities,Water Distribution,24,In Progress,High,MEDIUM,false,Additional water procurement costs,Disruption of daily life and hygiene,Frustration,,,UP Water Supply Act 2019,2025-02-12 16:52:37.921,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Water wastage and contamination,cm725f38o0082u6o47edcxgkg,cm725dgaz0008u6h4o1r9mtq7,cm725fvro00mru6o4de8xopnd
cm725fvyf00mvu6o4q1m5mbd9,Electricity Issue in Saharanpur,गर्मी के मौसम में बिजली की बहुत ज्यादा कटौती हो रही है। यह समस्या दिन-प्रतिदिन बढ़ती जा रही है।,Electricity,Utilities,Power Distribution,14,Open,High,MEDIUM,false,Increased electricity costs,Disruption of daily activities,Exhaustion,,,UP Electricity Act 2017,2025-02-12 16:52:38.151,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Increased generator usage causing pollution,cm725fvvg00mtu6o4cpabq1b5,cm725dgc70009u6h4pqcjyeb5,cm725fvx000muu6o4lcw6uy1i
cm725fw2l00mxu6o4se75qnmf,Garbage Issue in Mathura,सफाई कर्मचारियों द्वारा कूड़े का समय पर उठाव नहीं किया जाता। यह पूरे इलाके में गंदगी फैलाता है।,Garbage,Sanitation,Garbage Collection,5,Open,High,MEDIUM,false,Increased healthcare costs,Health hazards and unhygienic conditions,Disgust,,,UP Sanitation Act 2018,2025-02-12 16:52:38.301,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Pollution and pest infestation,cm725et130009u6o45e2rnkk7,cm725dgdh000au6h4fagm9twc,cm725fw1a00mwu6o4v7vqrn6n
cm725fw5100mzu6o47vj5uxlf,Roads Issue in Lucknow,सड़कें खस्ता हालत में हैं। गड्ढों के कारण वाहन चालकों को रोजाना खतरों का सामना करना पड़ता है।,Roads,Infrastructure,Road Maintenance,27,Closed,High,MEDIUM,false,Vehicle repair costs,Increased accidents and injuries,Anger,,,UP Road Maintenance Act 2017,2025-02-12 16:52:38.389,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Air pollution due to traffic congestion,cm725et4a000cu6o41zd7iqyb,cm725dg3k0003u6h4e8f3kb9h,cm725fw4p00myu6o463uoqwry
cm725fwa200n1u6o4wwz63bp0,Public Transport Issue in Varanasi,बसें समय पर नहीं आती और हमेशा बहुत भीड़ होती है।,Public Transport,Transportation,Bus Services,11,Open,Medium,MEDIUM,false,Loss of productivity,Inconvenience for daily commuters,Frustration,,,UP Public Transport Act 2018,2025-02-12 16:52:38.57,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Increased pollution due to private vehicle usage,cm725euhj001lu6o47cg3cj43,cm725dggi000cu6h4gbmwutvf,cm725fw9p00n0u6o4ylo6p5st
cm725fwcp00n3u6o4mffx1ngk,Health Services Issue in Meerut,सरकारी अस्पतालों में इलाज की सुविधाएं बहुत ही खराब हैं।,Health Services,Healthcare,Public Health,18,Open,High,MEDIUM,false,Increased medical expenses,Poor health outcomes,Helplessness,,,UP Health Services Act 2015,2025-02-12 16:52:38.665,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,None,cm725evst002tu6o4nf43xk4o,cm725dg6o0005u6h4jkjbkawz,cm725fwcd00n2u6o470sopg55
cm725fwhr00n5u6o4krzjizw2,Police & Law Issue in Mathura,पुलिस कभी भी ठोस कार्रवाई नहीं करती। अपराधियों के खिलाफ कोई भी सख्त कदम नहीं उठाया जाता।,Police & Law,Law Enforcement,Crime Control,27,In Progress,High,MEDIUM,false,Loss of business due to crime,Increased fear and insecurity among residents,Anger,,,UP Police Act 2018,2025-02-12 16:52:38.847,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,None,cm725fuj900m6u6o4t05efsvu,cm725dg830006u6h44jyrjmcn,cm725fwgo00n4u6o4947xa5gl
cm725fwno00n8u6o4wpjyirex,Education Issue in Jhansi,"स्कूलों में बच्चों को केवल पढ़ाई नहीं, जीवन की अन्य महत्वपूर्ण बातें भी सिखानी चाहिए।",Education,Education,School Curriculum,27,Open,High,MEDIUM,false,Increased private tuition costs,Poor educational outcomes,Concern,,,UP Education Act 2014,2025-02-12 16:52:39.06,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,None,cm725fwlr00n6u6o4fkqgna0l,cm725dg9j0007u6h4tzh2udh2,cm725fwmc00n7u6o4nafx9ue7
cm725fwu600nau6o4sgod6663,Water Supply Issue in Patna,The water supply in our area is very irregular. Sometimes we don't get water for days.,Water Supply,Utilities,Water Distribution,3,In Progress,High,MEDIUM,false,Additional water procurement costs,Disruption of daily life and hygiene,Frustration,,,UP Water Supply Act 2019,2025-02-12 16:52:39.294,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Water wastage and contamination,cm725f76900aku6o4l8t44bnc,cm725dgaz0008u6h4o1r9mtq7,cm725fwtr00n9u6o43ku1c1mj
